ts,interval,symbol,open,high,low,close,volume,delta,delta_250k_geq,delta_166k_to_250k,delta_86k_to_166k,delta_50k_to_86k,delta_26k_to_50k,delta_11k_to_26k,delta_11k_lt
2016-07-11 00:00:00,1d,XBTUSD,649.8,660.19,640,647.22,3628843,549983,0,0,0,50000,143498,74000,282485
2016-07-12 00:00:00,1d,XBTUSD,648.27,677.52,645.19,668,4193927,615865,0,0,-132062,0,25337,54960,667630
2016-07-13 00:00:00,1d,XBTUSD,667.99,667.99,650.95,652.99,1887767,-71365,0,0,0,73793,0,0,-145158
2016-07-14 00:00:00,1d,XBTUSD,652.75,665.37,648,657.51,2503010,-428,0,0,0,0,0,24713,-25141
2016-07-15 00:00:00,1d,XBTUSD,658.44,670.67,657.83,663.05,1986904,193880,0,0,0,0,0,20000,173880
2016-07-16 00:00:00,1d,XBTUSD,664.41,670,652.61,660.94,1497798,99530,0,0,0,0,0,33000,66530
2016-07-17 00:00:00,1d,XBTUSD,662.05,689.21,660.58,682.82,3502003,77365,-300429,0,0,-50000,0,111635,316159
2016-07-18 00:00:00,1d,XBTUSD,683,685.24,663.21,674.2,3418478,-458336,0,0,0,0,-29550,-39188,-389598
2016-07-19 00:00:00,1d,XBTUSD,673.9,676.85,667,675.24,1384098,32848,0,0,0,0,34736,39486,-41374
2016-07-20 00:00:00,1d,XBTUSD,675,675.13,655.32,665.21,1879106,-189210,0,0,90011,0,0,-57500,-221721
2016-07-21 00:00:00,1d,XBTUSD,664,667.73,655,664.59,1436203,-5167,0,0,0,0,0,4706,-9873
2016-07-22 00:00:00,1d,XBTUSD,663.96,668.38,640.53,648.28,3342334,68982,0,238374,122801,50199,0,-59276,-283116
2016-07-23 00:00:00,1d,XBTUSD,648.54,658.05,646.45,653.49,1285178,316750,0,0,113500,0,0,14020,189230
2016-07-24 00:00:00,1d,XBTUSD,654.48,663.95,650.05,661,642298,157954,0,0,0,0,0,-10900,168854
2016-07-25 00:00:00,1d,XBTUSD,663.4,663.64,647.81,653.48,784937,-113125,0,0,0,0,0,0,-113125
2016-07-26 00:00:00,1d,XBTUSD,653.95,657,637.71,649.93,1895588,229984,0,0,0,0,39500,144601,45883
2016-07-27 00:00:00,1d,XBTUSD,650.04,662.36,644.05,656.79,1898480,-33834,0,0,0,-50000,-36723,178781,-125892
2016-07-28 00:00:00,1d,XBTUSD,656.87,659.5,646.87,654.69,910987,-19855,0,0,0,0,0,56380,-76235
2016-07-29 00:00:00,1d,XBTUSD,654.7,658.57,653.3,657.67,741958,474054,0,0,0,0,0,384205,89849
2016-07-30 00:00:00,1d,XBTUSD,657.98,658.96,650.84,654.84,551816,-31614,0,0,0,0,0,-13000,-18614
2016-07-31 00:00:00,1d,XBTUSD,654.84,654.84,618.02,621.31,4277121,367771,0,200000,0,62778,120349,294912,-310268
2016-08-01 00:00:00,1d,XBTUSD,620.82,626.49,601.94,607.35,2690512,-504552,0,0,0,0,-26999,-237055,-240498
2016-08-02 00:00:00,1d,XBTUSD,607.97,613.17,469.03,528.83,11521643,1012313,0,0,131869,155954,198843,473181,52466
2016-08-03 00:00:00,1d,XBTUSD,528,578.38,513.94,560.67,6887135,274313,0,0,0,-133824,-7902,137991,278048
2016-08-04 00:00:00,1d,XBTUSD,565.39,580,555.15,573.12,4322187,-10681,0,0,0,0,-27200,-155248,171767
2016-08-05 00:00:00,1d,XBTUSD,573.94,574.94,562,570.51,2042397,262937,0,0,0,0,0,126930,136007
2016-08-06 00:00:00,1d,XBTUSD,570.14,588.99,560.09,585.81,4375716,135172,0,0,0,0,30317,-306849,411704
2016-08-07 00:00:00,1d,XBTUSD,585,598.02,576.94,592.31,2922495,302625,0,0,0,0,35835,137639,129151
2016-08-08 00:00:00,1d,XBTUSD,591.15,592.12,583.91,586.94,2137776,365304,0,0,0,0,37000,465629,-137325
2016-08-09 00:00:00,1d,XBTUSD,585.7,594.57,578.93,584,2678606,636510,0,0,0,0,29444,548370,58696
